,time,max_temperature,min_temperature,avg_temperature
0,2013-01-01,3.3,-3.5,1.1
1,2013-01-02,-0.6,-7.0,-4.2
2,2013-01-03,-0.2,-7.2,-4.2
3,2013-01-04,2.4,-4.0,-1.2
4,2013-01-05,5.2,-3.0,0.1
5,2013-01-06,6.8,-2.6,1.2
6,2013-01-07,6.1,-1.2,1.4
7,2013-01-08,8.0,-3.1,1.4
8,2013-01-09,8.3,-1.9,3.8
9,2013-01-10,8.0,-1.0,3.7
10,2013-01-11,7.1,-2.3,2.6
11,2013-01-12,8.8,5.5,6.8
12,2013-01-13,8.8,5.3,6.7
13,2013-01-14,13.6,6.3,9.9
14,2013-01-15,5.3,2.0,3.0
15,2013-01-16,2.5,0.0,1.2
16,2013-01-17,6.3,0.9,2.8
17,2013-01-18,0.3,-6.1,-2.4
18,2013-01-19,8.3,-5.8,1.7
19,2013-01-20,10.8,0.2,5.2
20,2013-01-21,1.4,-3.6,-1.3
21,2013-01-22,-2.1,-8.1,-5.6
22,2013-01-23,-5.9,-10.9,-8.7
23,2013-01-24,-4.3,-10.6,-7.7
24,2013-01-25,-3.9,-10.4,-7.3
25,2013-01-26,-2.3,-8.9,-6.2
26,2013-01-27,1.0,-8.9,-5.0
27,2013-01-28,1.1,-5.0,-1.5
28,2013-01-29,8.8,1.2,3.9
29,2013-01-30,14.9,3.9,9.9
30,2013-01-31,13.7,-0.8,7.0
31,2013-02-01,0.3,-3.9,-1.9
32,2013-02-02,-1.5,-6.7,-4.1
33,2013-02-03,-1.1,-5.1,-3.2
34,2013-02-04,-0.4,-6.4,-3.8
35,2013-02-05,-0.0,-4.8,-2.2
36,2013-02-06,3.7,-4.1,-0.7
37,2013-02-07,0.1,-5.3,-2.8
38,2013-02-08,2.5,-2.3,0.8
39,2013-02-09,-1.2,-9.2,-3.7
40,2013-02-10,-1.6,-15.2,-8.5
41,2013-02-11,5.3,-7.0,1.6
42,2013-02-12,5.3,-3.4,1.7
43,2013-02-13,4.3,-4.4,-0.4
44,2013-02-14,5.3,-4.9,0.0
45,2013-02-15,7.4,-4.8,1.0
46,2013-02-16,2.2,-1.8,0.4
47,2013-02-17,-2.0,-8.4,-4.1
48,2013-02-18,0.3,-10.0,-6.1
49,2013-02-19,6.3,-5.9,0.6
50,2013-02-20,2.4,-3.9,-1.1
51,2013-02-21,1.0,-6.0,-3.3
52,2013-02-22,2.5,-6.0,-1.8
53,2013-02-23,5.4,0.2,2.9
54,2013-02-24,6.9,-0.1,3.1
55,2013-02-25,6.6,-2.5,2.0
56,2013-02-26,5.8,-2.0,2.3
57,2013-02-27,10.4,2.7,6.0
58,2013-02-28,9.4,0.4,4.3
59,2013-03-01,7.4,-0.6,3.3
60,2013-03-02,4.5,-1.8,1.3
61,2013-03-03,4.3,-2.1,0.5
62,2013-03-04,5.1,-3.1,0.0
63,2013-03-05,7.9,-2.0,2.0
64,2013-03-06,4.5,-0.8,2.2
65,2013-03-07,4.3,0.7,1.7
66,2013-03-08,3.1,-0.7,1.0
67,2013-03-09,9.3,-1.0,2.9
68,2013-03-10,7.8,-1.9,2.3
69,2013-03-11,11.7,0.3,5.6
70,2013-03-12,11.4,5.7,9.5
71,2013-03-13,9.5,0.2,4.8
72,2013-03-14,4.3,-1.3,1.3
73,2013-03-15,7.8,-3.0,2.4
74,2013-03-16,4.2,-0.7,1.4
75,2013-03-17,4.8,-3.0,0.9
76,2013-03-18,2.0,-3.7,-0.6
77,2013-03-19,7.0,0.9,3.1
78,2013-03-20,7.2,-1.7,2.1
79,2013-03-21,3.9,-1.4,1.0
80,2013-03-22,5.1,-2.9,0.8
81,2013-03-23,7.1,-2.0,2.3
82,2013-03-24,7.5,-2.5,2.4
83,2013-03-25,3.3,0.8,1.7
84,2013-03-26,10.3,-2.9,4.0
85,2013-03-27,10.5,-0.6,4.8
86,2013-03-28,9.2,0.2,5.0
87,2013-03-29,11.7,0.9,6.1
88,2013-03-30,13.0,0.1,6.5
89,2013-03-31,11.5,0.9,6.3
90,2013-04-01,14.8,3.4,8.8
91,2013-04-02,6.4,-1.5,2.8
92,2013-04-03,7.7,-1.9,2.8
93,2013-04-04,9.9,-3.1,3.6
94,2013-04-05,16.0,2.1,7.6
95,2013-04-06,9.7,0.6,4.7
96,2013-04-07,13.1,1.5,7.3
97,2013-04-08,20.7,6.0,12.3
98,2013-04-09,25.8,10.3,17.6
99,2013-04-10,22.0,11.0,15.6
100,2013-04-11,15.7,7.6,12.3
101,2013-04-12,7.4,5.2,6.1
102,2013-04-13,12.9,3.9,8.5
103,2013-04-14,13.3,4.3,9.1
104,2013-04-15,12.1,4.2,7.8
105,2013-04-16,17.6,4.6,11.5
106,2013-04-17,19.7,10.5,14.7
107,2013-04-18,13.7,6.2,10.3
108,2013-04-19,21.3,11.8,16.7
109,2013-04-20,17.4,8.7,11.7
110,2013-04-21,11.1,2.5,6.8
111,2013-04-22,10.2,3.5,6.9
112,2013-04-23,9.8,5.0,6.8
113,2013-04-24,19.5,3.0,11.5
114,2013-04-25,16.4,7.3,12.4
115,2013-04-26,17.3,5.1,11.2
116,2013-04-27,18.4,5.3,11.9
117,2013-04-28,19.3,6.6,12.5
118,2013-04-29,13.2,10.4,11.6
119,2013-04-30,17.3,8.3,12.7
120,2013-05-01,17.8,5.3,11.3
121,2013-05-02,20.0,5.5,12.9
122,2013-05-03,15.8,8.9,12.0
123,2013-05-04,17.6,6.3,11.4
124,2013-05-05,14.7,6.6,9.8
125,2013-05-06,18.1,6.5,11.2
126,2013-05-07,19.8,7.9,13.7
127,2013-05-08,18.7,12.0,14.4
128,2013-05-09,19.4,10.9,14.4
129,2013-05-10,24.8,10.0,17.6
130,2013-05-11,21.5,15.0,17.8
131,2013-05-12,19.6,11.1,15.7
132,2013-05-13,12.8,6.7,9.9
133,2013-05-14,14.5,4.9,9.8
134,2013-05-15,21.0,6.1,14.0
135,2013-05-16,25.1,11.5,19.0
136,2013-05-17,21.2,12.2,17.0
137,2013-05-18,19.5,12.4,15.3
138,2013-05-19,15.8,13.0,14.2
139,2013-05-20,24.3,14.0,18.6
140,2013-05-21,28.9,16.2,22.6
141,2013-05-22,29.7,18.5,22.9
142,2013-05-23,24.6,18.4,20.9
143,2013-05-24,18.7,8.2,14.5
144,2013-05-25,12.0,7.0,9.0
145,2013-05-26,18.3,8.5,12.9
146,2013-05-27,21.8,6.6,14.7
147,2013-05-28,18.4,10.1,13.7
148,2013-05-29,27.9,13.0,20.3
149,2013-05-30,31.5,18.3,25.0
150,2013-05-31,31.6,18.6,25.3
151,2013-06-01,31.1,19.0,25.2
152,2013-06-02,30.5,21.1,25.1
153,2013-06-03,23.9,19.8,21.5
154,2013-06-04,22.7,13.8,18.3
155,2013-06-05,21.0,11.9,16.9
156,2013-06-06,20.9,11.7,16.6
157,2013-06-07,16.7,15.0,15.7
158,2013-06-08,23.4,13.5,18.8
159,2013-06-09,25.5,14.2,20.4
160,2013-06-10,19.8,17.3,18.3
161,2013-06-11,25.6,19.7,22.1
162,2013-06-12,23.9,17.4,20.0
163,2013-06-13,18.2,13.7,16.3
164,2013-06-14,21.3,12.3,16.3
165,2013-06-15,25.0,14.6,19.9
166,2013-06-16,26.6,13.9,20.9
167,2013-06-17,28.0,17.3,22.8
168,2013-06-18,25.7,18.0,21.0
169,2013-06-19,23.6,15.6,19.3
170,2013-06-20,24.6,13.4,19.2
171,2013-06-21,26.1,14.3,20.3
172,2013-06-22,27.1,14.4,20.9
173,2013-06-23,28.9,18.1,23.3
174,2013-06-24,33.0,21.1,26.3
175,2013-06-25,32.2,20.1,26.5
176,2013-06-26,31.3,22.5,26.1
177,2013-06-27,28.7,21.4,24.4
178,2013-06-28,28.5,21.5,24.6
179,2013-06-29,27.3,21.7,24.0
180,2013-06-30,26.6,20.6,23.4
181,2013-07-01,26.0,22.2,23.1
182,2013-07-02,26.3,22.5,24.0
183,2013-07-03,27.2,21.9,24.5
184,2013-07-04,30.0,22.8,26.3
185,2013-07-05,31.3,22.6,26.9
186,2013-07-06,32.6,23.6,27.9
187,2013-07-07,32.8,23.9,28.2
188,2013-07-08,30.1,22.9,26.5
189,2013-07-09,30.4,22.1,26.3
190,2013-07-10,28.4,23.2,25.7
191,2013-07-11,28.1,22.8,25.0
192,2013-07-12,24.5,20.5,22.5
193,2013-07-13,26.7,20.6,23.6
194,2013-07-14,30.7,21.7,26.3
195,2013-07-15,32.7,23.3,27.9
196,2013-07-16,32.6,23.2,27.8
197,2013-07-17,32.8,22.7,28.2
198,2013-07-18,34.7,24.9,29.8
199,2013-07-19,34.8,25.8,29.9
200,2013-07-20,32.5,23.7,28.4
201,2013-07-21,28.7,23.3,25.3
202,2013-07-22,27.8,22.6,24.7
203,2013-07-23,29.5,23.1,25.6
204,2013-07-24,27.9,21.4,24.5
205,2013-07-25,20.5,18.5,19.0
206,2013-07-26,27.1,17.7,21.9
207,2013-07-27,26.5,17.4,22.2
208,2013-07-28,25.8,18.4,22.0
209,2013-07-29,27.8,19.9,23.1
210,2013-07-30,26.0,16.6,21.6
211,2013-07-31,26.3,16.2,21.7
212,2013-08-01,23.6,18.7,20.7
213,2013-08-02,27.6,18.7,22.9
214,2013-08-03,23.8,19.0,20.9
215,2013-08-04,24.9,16.5,21.1
216,2013-08-05,24.6,15.1,19.9
217,2013-08-06,25.0,17.4,21.0
218,2013-08-07,23.9,17.6,20.9
219,2013-08-08,27.8,20.6,23.3
220,2013-08-09,28.2,21.6,23.9
221,2013-08-10,27.9,19.9,23.5
222,2013-08-11,25.7,16.1,21.6
223,2013-08-12,26.1,19.3,22.6
224,2013-08-13,25.6,19.8,22.2
225,2013-08-14,23.0,16.4,19.7
226,2013-08-15,24.1,13.5,19.1
227,2013-08-16,25.1,14.3,20.1
228,2013-08-17,26.2,14.3,20.6
229,2013-08-18,24.2,17.2,20.6
230,2013-08-19,27.0,16.8,21.5
231,2013-08-20,29.5,17.5,23.7
232,2013-08-21,30.7,17.6,24.6
233,2013-08-22,27.5,21.8,24.2
234,2013-08-23,26.7,20.4,23.6
235,2013-08-24,24.9,17.1,20.9
236,2013-08-25,27.0,14.7,21.3
237,2013-08-26,28.1,18.1,22.3
238,2013-08-27,29.3,20.3,24.4
239,2013-08-28,28.6,21.1,23.9
240,2013-08-29,25.7,20.1,22.2
241,2013-08-30,28.0,19.4,23.2
242,2013-08-31,29.3,21.1,24.7
243,2013-09-01,27.9,21.9,24.4
244,2013-09-02,26.2,21.9,23.7
245,2013-09-03,26.7,20.2,23.6
246,2013-09-04,26.8,17.0,21.7
247,2013-09-05,24.3,17.0,20.6
248,2013-09-06,20.5,12.8,16.8
249,2013-09-07,25.1,11.9,18.7
250,2013-09-08,26.4,17.0,21.0
251,2013-09-09,21.5,12.9,17.4
252,2013-09-10,30.0,17.7,23.6
253,2013-09-11,33.0,22.0,27.2
254,2013-09-12,30.6,22.3,25.6
255,2013-09-13,23.6,16.6,20.9
256,2013-09-14,18.2,13.3,16.1
257,2013-09-15,21.5,9.9,16.2
258,2013-09-16,21.2,14.7,17.1
259,2013-09-17,17.1,9.3,13.6
260,2013-09-18,20.7,8.4,15.0
261,2013-09-19,23.5,9.9,16.7
262,2013-09-20,24.5,10.6,17.5
263,2013-09-21,24.1,12.9,18.7
264,2013-09-22,20.2,14.2,17.8
265,2013-09-23,17.9,9.9,13.6
266,2013-09-24,21.7,8.1,14.2
267,2013-09-25,21.4,9.0,15.4
268,2013-09-26,19.5,11.7,15.7
269,2013-09-27,19.0,11.1,15.1
270,2013-09-28,21.5,12.4,16.8
271,2013-09-29,20.1,10.9,15.7
272,2013-09-30,21.5,10.2,15.5
273,2013-10-01,25.7,11.4,18.4
274,2013-10-02,27.6,13.5,20.3
275,2013-10-03,25.5,13.6,19.7
276,2013-10-04,28.6,16.0,21.6
277,2013-10-05,25.4,17.4,20.3
278,2013-10-06,22.3,18.2,19.9
279,2013-10-07,23.5,14.4,19.4
280,2013-10-08,19.2,11.8,15.3
281,2013-10-09,16.6,11.9,14.2
282,2013-10-10,15.3,12.2,13.5
283,2013-10-11,19.4,13.6,16.1
284,2013-10-12,20.2,13.9,16.4
285,2013-10-13,16.8,12.9,14.6
286,2013-10-14,17.4,10.7,13.6
287,2013-10-15,19.9,9.4,13.9
288,2013-10-16,18.8,11.5,15.3
289,2013-10-17,21.2,14.4,17.3
290,2013-10-18,18.9,12.1,15.6
291,2013-10-19,17.5,8.0,13.0
292,2013-10-20,16.2,8.6,12.3
293,2013-10-21,17.8,6.4,11.9
294,2013-10-22,18.1,9.3,12.8
295,2013-10-23,11.2,7.1,9.1
296,2013-10-24,11.1,4.3,7.6
297,2013-10-25,11.3,3.6,7.0
298,2013-10-26,12.0,2.4,7.3
299,2013-10-27,14.0,6.5,9.7
300,2013-10-28,15.3,2.8,8.7
301,2013-10-29,12.1,5.7,8.5
302,2013-10-30,15.4,8.0,11.5
303,2013-10-31,19.2,9.2,14.5
304,2013-11-01,20.4,12.1,17.6
305,2013-11-02,18.4,10.8,13.8
306,2013-11-03,10.5,4.3,8.1
307,2013-11-04,6.9,0.9,3.8
308,2013-11-05,12.0,3.5,7.6
309,2013-11-06,15.1,5.8,10.1
310,2013-11-07,16.1,7.2,11.7
311,2013-11-08,9.2,3.6,6.2
312,2013-11-09,8.9,0.9,5.2
313,2013-11-10,13.6,4.5,8.1
314,2013-11-11,11.1,3.8,7.2
315,2013-11-12,8.6,0.2,4.1
316,2013-11-13,3.6,-2.3,0.3
317,2013-11-14,10.0,-0.6,3.7
318,2013-11-15,13.2,-0.2,5.7
319,2013-11-16,13.3,3.3,7.5
320,2013-11-17,16.5,7.1,11.9
321,2013-11-18,17.5,9.9,14.2
322,2013-11-19,8.7,2.2,6.0
323,2013-11-20,6.1,-1.1,1.8
324,2013-11-21,9.1,-1.6,3.8
325,2013-11-22,13.1,6.7,9.2
326,2013-11-23,10.4,1.4,5.9
327,2013-11-24,0.2,-4.5,-2.8
328,2013-11-25,1.0,-5.2,-2.5
329,2013-11-26,5.5,-1.6,1.4
330,2013-11-27,14.6,1.6,7.8
331,2013-11-28,1.4,-2.5,-0.6
332,2013-11-29,2.9,-3.9,-0.8
333,2013-11-30,2.2,-4.5,-1.2
334,2013-12-01,7.7,-1.2,3.1
335,2013-12-02,7.8,0.8,3.5
336,2013-12-03,10.3,0.6,3.9
337,2013-12-04,10.7,0.5,5.0
338,2013-12-05,13.6,6.0,10.5
339,2013-12-06,14.2,3.7,8.9
340,2013-12-07,5.2,-0.7,2.2
341,2013-12-08,0.5,-3.6,-1.3
342,2013-12-09,5.2,-0.0,2.7
343,2013-12-10,0.5,-3.0,-0.6
344,2013-12-11,-0.7,-5.5,-3.5
345,2013-12-12,-4.3,-7.8,-6.4
346,2013-12-13,-0.2,-7.9,-4.7
347,2013-12-14,2.9,-5.9,-3.2
348,2013-12-15,5.6,-1.7,1.8
349,2013-12-16,-2.4,-7.3,-4.5
350,2013-12-17,1.8,-5.7,-2.8
351,2013-12-18,1.0,-9.1,-4.4
352,2013-12-19,4.6,-7.7,-1.8
353,2013-12-20,8.3,-1.0,3.2
354,2013-12-21,14.7,5.2,9.3
355,2013-12-22,19.2,13.1,16.4
356,2013-12-23,15.4,5.7,12.2
357,2013-12-24,4.7,-1.0,2.3
358,2013-12-25,-1.8,-5.5,-3.7
359,2013-12-26,1.9,-3.7,-1.3
360,2013-12-27,4.1,-4.1,-1.0
361,2013-12-28,9.2,-2.7,2.0
362,2013-12-29,6.5,0.4,3.2
363,2013-12-30,4.5,-3.7,1.1
364,2013-12-31,1.3,-6.2,-3.0
365,2014-01-01,1.3,-5.1,-2.5
366,2014-01-02,-1.2,-6.9,-2.6
367,2014-01-03,-7.9,-18.8,-12.1
368,2014-01-04,-6.2,-19.8,-13.1
369,2014-01-05,6.7,-11.6,-3.9
370,2014-01-06,11.4,-3.6,5.7
371,2014-01-07,-5.9,-16.3,-12.9
372,2014-01-08,-5.1,-13.1,-9.4
373,2014-01-09,-0.6,-7.4,-4.7
374,2014-01-10,2.8,-5.3,-0.7
375,2014-01-11,12.6,1.2,8.7
376,2014-01-12,9.0,-0.5,4.3
377,2014-01-13,10.2,-2.8,3.2
378,2014-01-14,8.1,3.2,6.0
379,2014-01-15,8.6,-1.6,3.3
380,2014-01-16,4.1,-0.7,2.7
381,2014-01-17,5.4,-4.2,0.5
